iteration,n_candidates,reward_time_ms,total_time_ms
134,1286,1635.0224018096924,1754.1041374206543
135,1285,1649.7490406036377,1754.321575164795
136,1284,1625.281810760498,1739.748477935791
137,1283,1625.0500679016113,1727.3542881011963
138,1282,1634.7410678863525,1743.4701919555664
139,1281,1618.3078289031982,1724.6747016906738
140,1280,1625.5247592926025,1736.5822792053223
141,1279,1618.1883811950684,1728.273630142212
142,1278,1633.3837509155273,1742.7525520324707
143,1277,1617.9180145263672,1722.6123809814453
144,1276,1617.6502704620361,1725.055456161499
145,1275,1613.8131618499756,1719.2189693450928
146,1274,1617.222547531128,1724.9367237091064
147,1273,1602.0169258117676,1713.8221263885498
148,1272,1609.541893005371,1717.6952362060547
149,1271,1611.1454963684082,1714.1072750091553
150,1270,1614.2964363098145,1728.3365726470947
151,1269,1599.2536544799805,1706.9933414459229
152,1268,1597.055435180664,1704.275131225586
153,1267,1591.0987854003906,1693.2928562164307
154,1266,1592.9350852966309,1698.779582977295
155,1265,1588.3443355560303,1695.7812309265137
156,1264,1612.7119064331055,1724.0326404571533
157,1263,1603.935718536377,1711.7199897766113
158,1262,1589.7026062011719,1696.6524124145508
159,1261,1586.6825580596924,1691.6329860687256
160,1260,1590.9359455108643,1705.209732055664
161,1259,1581.346035003662,1682.112693786621
162,1258,1592.181921005249,1697.8936195373535
163,1257,1594.696283340454,1695.3814029693604
164,1256,1585.4780673980713,1717.621088027954
165,1255,1578.8929462432861,1678.9979934692383
166,1254,1590.186595916748,1695.0469017028809
167,1253,1574.3224620819092,1675.1198768615723
168,1252,1578.8204669952393,1683.607578277588
169,1251,1577.4226188659668,1679.6107292175293
170,1250,1585.205078125,1691.0383701324463
171,1249,1575.9904384613037,1677.9401302337646
172,1248,1575.3567218780518,1680.4122924804688
173,1247,1575.5393505096436,1682.3554039001465
174,1246,1586.733341217041,1692.4219131469727
175,1245,1570.4874992370605,1671.0269451141357
176,1244,1561.772346496582,1666.562557220459
177,1243,1578.4366130828857,1678.8668632507324
178,1242,1575.0975608825684,1679.7637939453125
179,1241,1567.0287609100342,1667.2389507293701
180,1240,1573.0400085449219,1678.5366535186768
181,1239,1554.255485534668,1654.576063156128
182,1238,1567.3348903656006,1672.1277236938477
